Name,Class,Role,Tier,Score,Trend,Win,Role pick rate,Pick,Ban,KDA,Buffed,Nerfed
Elise ,Mage ,JUNGLE ,C ,40.42,10.76,47.02,90.53,1.4,0.61,2.51,1,0
Evelynn ,Assassin ,JUNGLE ,C ,42.27,5.33,46.5,98.12,2.52,3.77,2.81,1,0
Ezreal ,Marksman ,ADC ,God ,85.75,-4.46,48.86,95.33,20.31,4.81,2.45,0,0
Fiddlesticks ,Mage ,JUNGLE ,B ,45.68,0.39,49.3,85.82,2.15,1.21,2.6,1,0
Fiora ,Fighter ,TOP ,God ,90.27,2.38,52,97.43,8.29,21.55,1.85,0,1
Fizz ,Assassin ,MID ,A ,48.39,-2.63,49.52,95.13,3.06,4.66,2.48,0,0
Galio ,Tank ,MID ,B ,46.03,-2.55,49.82,78.48,2.07,0.34,2.61,1,0
Galio ,Tank ,SUPPORT ,C ,38.58,1.8,49.96,18.49,0.46,0.34,2.42,1,0
Gangplank ,Fighter ,TOP ,God ,76.32,-12.54,47.96,79.13,8.2,12.43,2.05,0,0
Gangplank ,Fighter ,MID ,C ,41.06,0.4,47.57,19.73,2.19,12.43,2.19,0,0
Garen ,Fighter ,TOP ,S ,64.73,-5.17,50.79,85.02,5.76,2.6,2.05,0,0
Gnar ,Fighter ,TOP ,A ,50.36,2.45,49.48,96.33,3.61,0.7,1.99,0,1
Gragas ,Fighter ,JUNGLE ,A ,50.53,21.83,51.55,28.02,1.27,0.46,3.1,0,0
Gragas ,Fighter ,MID ,B ,48.08,6.71,53.14,13.53,0.7,0.46,2.64,0,0
Gragas ,Fighter ,TOP ,B ,43.3,9.19,48.42,48.05,2.43,0.46,2.16,0,0
Graves ,Marksman ,JUNGLE ,A ,51,-27.1,48.41,76.74,7.18,6.77,2.59,0,0
Graves ,Marksman ,TOP ,D ,35.55,-2.85,48.15,15.85,1.42,6.77,1.72,0,0
Gwen ,Fighter ,TOP ,B ,47.19,-28.04,46.69,81.35,4.37,4.91,1.62,0,0
Gwen ,Fighter ,JUNGLE ,C ,37.82,-0.43,46.64,14.06,0.77,4.91,2.24,0,0
Hecarim ,Fighter ,JUNGLE ,B ,47.57,3.34,49,97.91,2.97,1.62,2.92,0,0
Heimerdinger ,Mage ,MID ,B ,47,5.69,53.75,43.04,0.84,0.88,2.09,1,0
Heimerdinger ,Mage ,SUPPORT ,D ,35.9,0,50.07,11.61,0.17,0.88,1.85,1,0
Heimerdinger ,Mage ,TOP ,D ,30.23,6.94,48.27,30.15,0.57,0.88,1.58,1,0
Heimerdinger ,Mage ,ADC ,D ,28.61,5.19,50.96,14.82,0.21,0.88,2.15,1,0
Illaoi ,Fighter ,TOP ,A ,51.17,7.39,51.67,92.55,3.32,5.09,1.45,0,0
Irelia ,Fighter ,TOP ,S ,62.82,-0.02,49.01,52.53,5.51,18.88,1.62,0,0
Irelia ,Fighter ,MID ,A ,52.6,3.93,49.44,45.53,4.62,18.88,1.79,0,0
Ivern ,Support ,JUNGLE ,C ,40.26,2.89,45.79,76.31,1.02,0.36,3.09,1,0
Ivern ,Support ,SUPPORT ,D ,22.55,-10.81,41.49,11.06,0.15,0.36,2.37,1,0
Janna ,Support ,SUPPORT ,God ,65.82,3.55,54.37,98.55,6.55,2.06,3.37,0,0
Jarvan IV ,Tank ,JUNGLE ,A ,48.13,5.75,49.41,87.11,1.93,0.25,3.2,1,0
Jax ,Fighter ,TOP ,S ,63.5,-5.76,50.3,84.17,5.74,9.34,1.67,0,0
Jax ,Fighter ,JUNGLE ,B ,43.18,5.79,49.68,13.89,1.01,8.94,2.18,0,0
Jayce ,Fighter ,TOP ,C ,42.19,-1.53,48.29,81.69,2.69,0.45,1.81,0,0
Jayce ,Fighter ,MID ,D ,36.29,-3.85,48.6,17.13,0.49,0.45,2.1,0,0
Jhin ,Marksman ,ADC ,God ,84.5,-5.23,51.51,97.03,16.81,5,2.99,0,0
Jinx ,Marksman ,ADC ,A ,50.61,-8.05,49.13,98.28,9.07,1.48,2.21,0,0
Kai'Sa ,Marksman ,ADC ,God ,65.83,-23.19,49.38,96.58,13.59,2.32,2.44,0,0
Kalista ,Marksman ,ADC ,C ,42.14,5.97,50.34,90.92,4.76,2.51,2.39,0,0
Karma ,Mage ,SUPPORT ,A ,55.2,-0.74,48.4,84.13,7.43,2.42,2.73,0,0
Karthus ,Mage ,JUNGLE ,C ,41.19,-0.04,47.09,62.99,2.03,3.18,2.46,1,0
Karthus ,Mage ,MID ,C ,39.88,7.99,50.23,13.74,0.44,3.18,2.23,1,0
Karthus ,Mage ,ADC ,D ,28.14,-6.59,49.99,17.11,0.63,3.18,2.19,1,0
Kassadin ,Assassin ,MID ,A ,54.61,1.24,50.63,96.05,4.05,9.23,2.5,0,0
Katarina ,Assassin ,MID ,S ,62.3,-3.41,48.22,94.42,7.76,11.36,2.29,0,0
Kayle ,Fighter ,TOP ,God ,68.51,-19.28,50.43,82.33,6.7,6.37,1.79,0,0
Kayle ,Fighter ,MID ,B ,45.86,-10.26,51.96,15.64,1.31,6.37,2.19,0,0
Kayn ,Fighter ,JUNGLE ,S ,58.55,-16.72,50.18,95.91,10.6,10.45,2.45,0,0
Kennen ,Mage ,MID ,B ,43.37,3.49,51.89,18.3,0.3,0.41,2.41,0,0
Kennen ,Mage ,TOP ,C ,38.3,7.83,48.95,77.59,1.38,0.47,2.01,0,0
Kha'Zix ,Assassin ,JUNGLE ,A ,51.19,-8.16,49.8,98,5.59,4.61,2.61,0,0
Kindred ,Marksman ,JUNGLE ,A ,49.09,-6.07,49.87,93.94,5.03,4.29,2.26,0,0
Kled ,Fighter ,TOP ,C ,41.41,2.24,48.66,88.13,1.75,1.01,2.31,1,0
Kog'Maw ,Marksman ,ADC ,C ,41.77,-18.45,51.01,91.32,4.37,5.4,2.24,0,0
LeBlanc ,Assassin ,MID ,B ,46.9,2.56,47.78,92.3,3.02,5.34,2.85,1,0
Lee Sin ,Fighter ,JUNGLE ,A ,51.57,-12.02,46.08,92.75,10.37,6.62,2.68,0,0
Leona ,Tank ,SUPPORT ,A ,49.45,-3.9,49.25,98.12,4.99,7.07,2.32,0,0
Lillia ,Fighter ,JUNGLE ,A ,54.32,-13.46,50.86,75.97,5.75,5.68,2.85,0,0
Lillia ,Fighter ,TOP ,B ,46.31,-0.18,51.9,20.05,1.48,5.68,2.19,0,0
Lissandra ,Mage ,MID ,B ,47.29,5.06,49.03,92.59,3.2,1.02,2.43,0,0
Lucian ,Marksman ,ADC ,God ,67.64,-9.54,50.54,88.48,12.15,11.91,2.38,0,1
Lulu ,Support ,SUPPORT ,God ,72.17,-0.84,50.26,96,10.1,17.38,3.09,0,0
Lux ,Mage ,MID ,S ,62.32,0.09,52.12,36.04,4.83,8.16,2.96,0,0
Lux ,Mage ,SUPPORT ,S ,61.13,0.17,48.51,60.36,9.02,8.16,2.49,0,0
Malphite ,Tank ,TOP ,A ,51.54,-8.86,49.83,72.81,3.12,2.94,2.4,0,0
Malphite ,Tank ,MID ,C ,38.07,-1.34,48.53,12.59,0.55,2.94,2.44,0,0
Malphite ,Tank ,SUPPORT ,D ,28.76,-5.66,45,13.03,0.62,2.9,2.03,0,0
Malzahar ,Mage ,MID ,A ,51.06,0.34,51.42,90.88,3.2,3.37,2.24,0,0
Maokai ,Tank ,SUPPORT ,C ,37.94,-3.47,49.05,70.95,1.22,0.15,2.17,0,0
Maokai ,Tank ,TOP ,D ,28.33,-4.73,46.36,22.21,0.41,0.15,2.05,0,0
Master Yi ,Assassin ,JUNGLE ,A ,48.95,-16.46,48.91,91.36,5.95,15,1.94,1,0
Miss Fortune ,Marksman ,ADC ,S ,59.07,-1.13,50.95,90.45,10.16,2.99,2.33,0,0
Mordekaiser ,Fighter ,TOP ,God ,80.05,-4.62,51.68,77.78,7.81,10.11,1.89,0,0
Mordekaiser ,Fighter ,JUNGLE ,A ,49.77,-0.16,52.43,15.79,1.56,10.92,2.41,0,0
Morgana ,Mage ,SUPPORT ,S ,60.84,-0.35,49.74,86.75,6.84,22.17,2.49,0,0
Nami ,Support ,SUPPORT ,God ,70.11,-2.78,51.04,99.41,10.45,3.95,3.25,0,0
Nasus ,Fighter ,TOP ,A ,54.93,-4.71,50.86,75.39,3.93,3.25,1.91,0,0
Nasus ,Fighter ,MID ,B ,42.53,0,51.53,11.38,0.36,3.25,2.33,0,0
Nautilus ,Tank ,SUPPORT ,S ,63.57,-3.4,49.49,97.26,9.1,15.42,2.32,0,0
Neeko ,Mage ,MID ,A ,50.38,2.64,52.7,58.08,2.04,0.85,2.4,0,0
Neeko ,Mage ,SUPPORT ,C ,40.81,-0.38,51.36,22.36,0.78,0.92,2.13,0,0
Neeko ,Mage ,TOP ,D ,32.69,-1.1,49.34,11.15,0.29,0.92,1.85,0,0
Nidalee ,Assassin ,JUNGLE ,B ,44.81,5.1,47.18,87.61,3.46,1.71,2.86,0,0
Nocturne ,Assassin ,JUNGLE ,A ,48.81,-6.64,50.12,92.67,3.19,2.71,2.68,0,0
Nunu ,Tank ,JUNGLE ,A ,49.23,7.2,49.81,89.02,3.25,1.25,2.91,0,0
Olaf ,Fighter ,TOP ,S ,58.15,-13.05,51.03,70.64,4.26,10.48,1.84,1,0
Olaf ,Fighter ,JUNGLE ,C ,42.02,4.77,48.08,27.19,1.71,10.48,2.32,1,0
Orianna ,Mage ,MID ,A ,51.13,-3.34,51.02,93.12,2.77,0.19,2.75,0,0
Ornn ,Tank ,TOP ,S ,62.03,-2.94,51.49,90.36,4.6,0.77,2.41,0,0
Pantheon ,Fighter ,MID ,B ,44.47,0.46,51.16,24.53,1.21,1.21,2.32,1,0
Pantheon ,Fighter ,TOP ,C ,38.55,2.89,49.41,26.95,1.14,1.13,2.09,1,0
Pantheon ,Fighter ,SUPPORT ,C ,37.47,1.5,48.14,41.35,2.05,1.13,1.9,1,0
Poppy ,Tank ,JUNGLE ,A ,49.76,13.44,51.65,51.88,1.8,1.23,2.71,0,0
Poppy ,Tank ,TOP ,B ,43.95,9.48,51.36,38.26,1.24,1.23,2.24,0,0
Pyke ,Support ,SUPPORT ,S ,62.83,2.01,48.89,93.27,9.02,16.84,2.32,0,0
Qiyana ,Assassin ,MID ,B ,43.71,3.77,47.74,69.68,3.32,3.23,2.07,0,0
Qiyana ,Assassin ,JUNGLE ,C ,40.87,2.19,47.76,24.18,1.17,3.23,2.38,0,0
Quinn ,Marksman ,TOP ,C ,38.06,0.04,49.06,80.74,1.42,0.79,1.9,0,0
Rakan ,Support ,SUPPORT ,S ,55.79,11.94,50.43,98.11,6.15,0.45,2.92,0,0
Rammus ,Tank ,JUNGLE ,A ,52.26,10.18,51.59,93.88,3.09,5.97,2.9,0,0
Rek'Sai ,Fighter ,JUNGLE ,B ,48.04,4.41,50.27,96.07,2.73,2.51,2.58,0,0
Rell ,Tank ,SUPPORT ,C ,38.59,-5.6,48.68,98.34,1.34,0.28,2.44,0,0
Renata Glasc ,Support ,SUPPORT ,God ,66.76,1.88,52.02,98.92,8.59,8.24,2.87,0,0
Renekton ,Fighter ,MID ,B ,45.9,2.81,53.38,13.51,0.43,1.62,2.27,1,0
Renekton ,Fighter ,TOP ,B ,43.6,2.77,48.15,84.67,2.91,1.62,1.88,1,0
Rengar ,Assassin ,JUNGLE ,B ,44.55,-8.08,47.81,77.62,4.08,8.7,2.26,0,0
Rengar ,Assassin ,TOP ,D ,27.19,-18.99,44.95,18.4,1.01,8.7,1.75,0,0
Riven ,Fighter ,TOP ,S ,56.04,2.69,49.62,89.56,4.71,2.71,1.89,0,0
Rumble ,Fighter ,MID ,A ,49.09,6.11,53.51,33.14,0.79,0.44,2.64,0,0
Rumble ,Fighter ,TOP ,C ,36.54,1.01,48.19,53.03,1.2,0.44,2.12,0,0
